userId,movieId,rating,timestamp
121,1,4.0,847656180
121,5,3.0,847656405
121,6,5.0,847656264
121,11,4.0,847656100
121,16,5.0,847656340
121,19,2.0,847656045
121,22,3.0,847656357
121,25,4.0,847656224
121,39,4.0,847656062
121,44,1.0,847656224
121,47,3.0,847656010
121,62,5.0,847656203
121,95,3.0,847656129
121,110,4.0,847655980
121,141,4.0,847656180
121,150,3.0,847655899
121,161,3.0,847655980
121,163,4.0,847656374
121,186,3.0,847656203
121,225,3.0,847656062
121,237,4.0,847656357
121,246,3.0,847656374
121,252,3.0,847656203
121,253,3.0,847655996
121,265,2.0,847656245
121,266,3.0,847656077
121,272,1.0,847656374
121,282,3.0,847656113
121,288,4.0,847655996
121,292,3.0,847655960
121,296,4.0,847655899
121,300,3.0,847656027
121,316,3.0,847655945
121,318,5.0,847655960
121,337,4.0,847656180
121,344,3.0,847655927
121,349,3.0,847655945
121,353,3.0,847656245
121,356,4.0,847655945
121,377,3.0,847656010
121,380,3.0,847655899
121,432,2.0,847656100
121,434,3.0,847655960
121,435,2.0,847656100
121,440,4.0,847656077
121,454,3.0,847655996
121,457,3.0,847655927
121,474,3.0,847656113
121,497,3.0,847656316
121,508,3.0,847656129
121,527,3.0,847656045
121,539,4.0,847656045
121,555,4.0,847656290
121,590,4.0,847655899
121,592,3.0,847655899
121,595,3.0,847655945
121,597,3.0,847656027
121,780,4.0,847656203
122,2,4.0,1461561176
122,19,3.5,1461562132
122,32,5.0,1461561526
122,47,4.5,1461561420
122,50,5.0,1461561151
122,70,4.5,1461562250
122,104,4.0,1461562198
122,111,5.0,1461561504
122,165,5.0,1461562066
122,231,4.5,1461562094
122,253,4.5,1461562158
122,260,5.0,1461561351
122,288,5.0,1461562373
122,292,4.0,1461563011
122,296,5.0,1461561354
122,318,5.0,1461561133
122,356,5.0,1461561332
122,442,4.0,1461562544
122,480,4.0,1461561380
122,520,4.0,1461562759
122,551,5.0,1461562043
122,555,4.5,1461562546
122,589,5.0,1461561440
122,592,4.5,1461562201
122,593,5.0,1461561148
122,608,5.0,1461561468
122,714,5.0,1461562845
122,778,5.0,1461561523
122,780,4.0,1461561583
122,784,5.0,1461562570
122,858,5.0,1461561142
122,923,5.0,1461562092
122,1073,5.0,1461562395
122,1080,5.0,1461561803
122,1089,5.0,1461561470
122,1090,5.0,1461562305
122,1136,5.0,1461561527
